# Copyright 1985-1997 Adobe Systems Incorporated. All rights reserved.
#
# This file and the 14 PostScript(R) AFM files it accompanies may be used, copied, and distributed
# for any purpose and without charge, with or without modification, provided that all copyright
# notices are retained; that the AFM files are not distributed without this file; that all
# modifications to this file or any of the AFM files are prominently noted in the modified
# file(s); and that this paragraph is not modified. Adobe Systems has no responsibility or
# obligation to support the use of the AFM files.
#
# MODIFICATION NOTICE: this file is not an Adobe AFM. It is a derived numeric table extracted from
# Helvetica.afm / Times-Roman.afm as distributed with matplotlib (mpl-data/fonts/pdfcorefonts),
# generated by scripts/gen_font_metrics.py. Only the glyphs chython labels need are kept, and only
# the advance width and bounding box of each.
#
# Generated by scripts/gen_font_metrics.py from Helvetica.afm. Do not hand-edit.
# Units are 1/1000 em. `char` is the character the glyph encodes, or - when it encodes none.
char	name	wx	llx	lly	urx	ury
A	A	667	14	0	654	718
-	AE	1000	8	0	951	718
-	Aacute	667	14	0	654	929
-	Abreve	667	14	0	654	926
-	Acircumflex	667	14	0	654	929
-	Adieresis	667	14	0	654	901
-	Agrave	667	14	0	654	929
-	Amacron	667	14	0	654	879
-	Aogonek	667	14	-225	654	718
-	Aring	667	14	0	654	931
-	Atilde	667	14	0	654	917
B	B	667	74	0	627	718
C	C	722	44	-19	681	737
-	Cacute	722	44	-19	681	929
-	Ccaron	722	44	-19	681	929
-	Ccedilla	722	44	-225	681	737
D	D	722	81	0	674	718
-	Dcaron	722	81	0	674	929
-	Dcroat	722	0	0	674	718
-	Delta	612	6	0	608	688
E	E	667	86	0	616	718
-	Eacute	667	86	0	616	929
-	Ecaron	667	86	0	616	929
-	Ecircumflex	667	86	0	616	929
-	Edieresis	667	86	0	616	901
-	Edotaccent	667	86	0	616	901
-	Egrave	667	86	0	616	929
-	Emacron	667	86	0	616	879
-	Eogonek	667	86	-220	633	718
-	Eth	722	0	0	674	718
-	Euro	556	0	0	0	0
F	F	611	86	0	583	718
G	G	778	48	-19	704	737
-	Gbreve	778	48	-19	704	926
-	Gcommaaccent	778	48	-225	704	737
H	H	722	77	0	646	718
I	I	278	91	0	188	718
-	Iacute	278	91	0	292	929
-	Icircumflex	278	-6	0	285	929
-	Idieresis	278	13	0	266	901
-	Idotaccent	278	91	0	188	901
-	Igrave	278	-13	0	188	929
-	Imacron	278	-17	0	296	879
-	Iogonek	278	-3	-225	211	718
J	J	500	17	-19	428	718
K	K	667	76	0	663	718
-	Kcommaaccent	667	76	-225	663	718
L	L	556	76	0	537	718
-	Lacute	556	76	0	537	929
-	Lcaron	556	76	0	537	718
-	Lcommaaccent	556	76	-225	537	718
-	Lslash	556	-20	0	537	718
M	M	833	73	0	761	718
N	N	722	76	0	646	718
-	Nacute	722	76	0	646	929
-	Ncaron	722	76	0	646	929
-	Ncommaaccent	722	76	-225	646	718
-	Ntilde	722	76	0	646	917
O	O	778	39	-19	739	737
-	OE	1000	36	-19	965	737
-	Oacute	778	39	-19	739	929
-	Ocircumflex	778	39	-19	739	929
-	Odieresis	778	39	-19	739	901
-	Ograve	778	39	-19	739	929
-	Ohungarumlaut	778	39	-19	739	929
-	Omacron	778	39	-19	739	879
-	Oslash	778	39	-19	740	737
