# Copyright 1985-1997 Adobe Systems Incorporated. All rights reserved.
#
# This file and the 14 PostScript(R) AFM files it accompanies may be used, copied, and distributed
# for any purpose and without charge, with or without modification, provided that all copyright
# notices are retained; that the AFM files are not distributed without this file; that all
# modifications to this file or any of the AFM files are prominently noted in the modified
# file(s); and that this paragraph is not modified. Adobe Systems has no responsibility or
# obligation to support the use of the AFM files.
#
# MODIFICATION NOTICE: this file is not an Adobe AFM. It is a derived numeric table extracted from
# Helvetica.afm / Times-Roman.afm as distributed with matplotlib (mpl-data/fonts/pdfcorefonts),
# generated by scripts/gen_font_metrics.py. Only the glyphs chython labels need are kept, and only
# the advance width and bounding box of each.
#
# Generated by scripts/gen_font_metrics.py from Times-Roman.afm. Do not hand-edit.
# Units are 1/1000 em. `char` is the character the glyph encodes, or - when it encodes none.
char	name	wx	llx	lly	urx	ury
A	A	722	15	0	706	674
-	AE	889	0	0	863	662
-	Aacute	722	15	0	706	890
-	Abreve	722	15	0	706	876
-	Acircumflex	722	15	0	706	886
-	Adieresis	722	15	0	706	835
-	Agrave	722	15	0	706	890
-	Amacron	722	15	0	706	813
-	Aogonek	722	15	-165	738	674
-	Aring	722	15	0	706	898
-	Atilde	722	15	0	706	850
B	B	667	17	0	593	662
C	C	667	28	-14	633	676
-	Cacute	667	28	-14	633	890
-	Ccaron	667	28	-14	633	886
-	Ccedilla	667	28	-215	633	676
D	D	722	16	0	685	662
-	Dcaron	722	16	0	685	886
-	Dcroat	722	16	0	685	662
-	Delta	612	6	0	608	688
E	E	611	12	0	597	662
-	Eacute	611	12	0	597	890
-	Ecaron	611	12	0	597	886
-	Ecircumflex	611	12	0	597	886
-	Edieresis	611	12	0	597	835
-	Edotaccent	611	12	0	597	835
-	Egrave	611	12	0	597	890
-	Emacron	611	12	0	597	813
-	Eogonek	611	12	-165	597	662
-	Eth	722	16	0	685	662
-	Euro	500	0	0	0	0
F	F	556	12	0	546	662
G	G	722	32	-14	709	676
-	Gbreve	722	32	-14	709	876
-	Gcommaaccent	722	32	-218	709	676
H	H	722	19	0	702	662
I	I	333	18	0	315	662
-	Iacute	333	18	0	317	890
-	Icircumflex	333	11	0	322	886
-	Idieresis	333	18	0	315	835
-	Idotaccent	333	18	0	315	835
-	Igrave	333	18	0	315	890
-	Imacron	333	11	0	322	813
-	Iogonek	333	18	-165	315	662
J	J	389	10	-14	370	662
K	K	722	34	0	723	662
-	Kcommaaccent	722	34	-198	723	662
L	L	611	12	0	598	662
-	Lacute	611	12	0	598	890
-	Lcaron	611	12	0	598	676
-	Lcommaaccent	611	12	-218	598	662
-	Lslash	611	12	0	598	662
M	M	889	12	0	863	662
N	N	722	12	-11	707	662
-	Nacute	722	12	-11	707	890
-	Ncaron	722	12	-11	707	886
-	Ncommaaccent	722	12	-198	707	662
-	Ntilde	722	12	-11	707	850
O	O	722	34	-14	688	676
-	OE	889	30	-6	885	668
-	Oacute	722	34	-14	688	890
